subject,sessionIndex,rep,UD.period.t,UD.t.i,UD.i.e,UD.e.five,UD.five.Shift.r,UD.Shift.r.o,UD.o.a,UD.a.n,UD.n.l,UD.l.Return
s036,3,44,0.8667,0.1258,0.7133,0.418,1.0048,0.5796,0.3358,0.2809,0.4791,0.5418
s036,3,45,0.4851,0.2453,0.4162,0.2851,0.5739,0.6421,0.2765,0.3355,0.4504,0.8598
s036,3,46,1.1958,0.1105,0.5124,0.9541,0.2923,0.5243,0.2163,0.2775,0.5467,0.5516
s036,3,47,0.4369,0.1095,0.3885,0.2677,0.5808,0.7168,0.3007,0.2999,0.4499,0.796
s036,3,48,0.5487,0.1664,0.3819,0.3112,0.6406,0.6103,0.2403,0.3052,0.5308,0.7404
s036,3,49,0.7362,0.148,0.3529,0.2355,0.6319,1.5686,0.2343,0.7028,0.5053,0.7615
s036,3,50,0.4208,0.1989,0.5881,0.1611,0.6383,0.557,0.2548,0.2466,0.4148,0.8791
s036,4,1,0.9996,0.0789,0.8399,0.6709,0.9673,0.6981,0.1322,0.4884,0.4509,0.7478
s036,4,2,0.6943,0.1126,0.5253,0.1524,0.6351,0.557,0.2543,0.2427,0.4818,1.0049
s036,4,3,1.7385,0.1643,0.8592,2.1046,0.6817,0.6588,0.6209,0.1931,1.1867,1.4584
s036,4,4,0.8106,0.4014,0.6348,0.6076,0.9254,0.8376,0.2514,0.2886,0.5382,0.7451
s036,4,5,0.8021,0.2215,0.4346,0.2371,0.4962,0.5135,0.177,0.2996,0.5867,0.4711
s036,4,6,0.7961,0.095,0.5259,0.2031,0.537,0.5668,0.1454,0.2893,0.5983,0.7103
s036,4,7,0.8129,0.1029,0.4322,0.4008,0.7271,0.8273,0.2229,0.3671,0.6229,0.6687
s036,4,8,0.4527,0.2065,0.437,0.279,1.0976,0.6303,0.1966,0.3234,0.6279,1.0304
s036,4,9,0.434,0.2202,0.5765,0.2363,0.6693,0.6387,0.1763,0.4634,0.5369,0.7367
s036,4,10,1.2494,0.6276,0.2611,0.4079,0.6742,0.5169,0.1842,0.3363,0.4251,0.4023
s036,4,11,0.8158,0.509,0.3083,0.3019,0.6599,0.634,0.2359,0.4455,0.5327,0.896
s036,4,12,0.4295,0.2142,0.3244,0.2795,0.6686,0.6,0.1393,0.3748,0.5503,0.6745
s036,4,13,1.8321,0.1894,0.6891,0.3402,0.5774,0.5312,0.2778,0.2603,0.5118,2.1003
s036,4,14,1.776,0.5454,0.4813,0.6901,1.1108,0.5974,0.2635,0.3384,0.5403,1.262
s036,4,15,0.9021,0.0992,0.4185,0.2297,0.5694,0.5636,0.2314,0.2878,0.4908,0.6241
s036,4,16,1.3195,0.2044,0.5348,0.6105,0.5813,0.5649,0.1549,0.2973,0.5121,0.897
s036,4,17,1.1025,0.1013,0.7843,0.6276,0.8587,0.7012,0.3685,0.2675,0.4654,0.6478
s036,4,18,1.0009,0.1155,0.6867,0.3191,0.5621,0.533,0.2145,0.2944,0.4549,0.6423
s036,4,19,1.2103,0.1693,0.2735,0.4401,0.3772,0.5591,0.161,0.2925,0.4586,0.5236
s036,4,20,1.0094,0.0958,0.3742,0.274,0.716,1.153,0.44,0.3007,0.6608,1.2501
s036,4,21,0.5664,0.1923,0.3579,0.6157,1.0322,0.9228,0.3176,0.2899,0.5736,1.1868
s036,4,22,0.5798,0.2896,0.8863,0.3259,0.5355,0.5494,0.1509,0.3252,0.524,0.8601
s036,4,23,0.675,0.1113,0.5295,0.3001,0.8761,0.6348,0.205,0.4178,0.7065,0.6884
s036,4,24,0.4137,0.1556,0.2527,0.2582,0.556,0.519,0.1291,0.3998,0.5662,0.9055
s036,4,25,2.2707,0.3207,0.3737,0.1851,0.5866,0.784,0.4465,0.2646,0.6057,0.8221
s036,4,26,1.0405,0.1482,0.3531,1.0063,1.6158,0.6127,0.1364,0.4795,0.5564,1.0231
s036,4,27,0.4741,0.1548,0.3616,0.2231,0.5697,0.5324,0.1232,0.3197,0.4665,0.7952
s036,4,28,0.4382,0.1891,0.4217,0.3378,0.4805,0.6396,0.1815,0.3271,0.4973,1.0602
s036,4,29,0.2636,0.1978,0.2648,0.2007,0.6285,0.5522,0.1401,0.3036,0.5356,0.8517
s036,4,30,0.5701,0.1846,0.2846,0.2481,0.5431,0.4953,0.041,0.3753,0.4702,0.4218
s036,4,31,0.4282,0.1575,0.4151,0.1042,0.6765,0.524,0.1254,0.2801,0.4752,0.5677
s036,4,32,0.4002,0.1844,0.4204,0.1134,0.6124,0.5509,0.0979,0.3331,0.4393,0.4611
s036,4,33,0.4997,0.0942,0.4193,0.1651,0.6095,0.5433,0.1457,0.2654,0.4541,0.4785
s036,4,34,0.4358,0.2384,0.2537,0.1788,0.627,0.5172,0.0515,0.3044,0.4388,0.439
s036,4,35,0.7401,0.09,0.3763,0.2347,0.603,0.5892,0.1198,0.3468,0.4203,0.4622
s036,4,36,0.694,0.1477,0.3463,0.3004,0.5715,0.5517,0.1145,0.316,0.5163,0.5982
s036,4,37,0.6188,0.2495,0.2326,0.4174,0.6942,0.5457,0.2045,0.4273,0.5635,0.5806
s036,4,38,0.8852,0.1,0.3215,0.6862,1.3919,0.5878,0.393,0.2677,0.4657,0.6394
s036,4,39,0.4675,0.288,0.5143,2.6138,1.0986,0.5676,0.1291,0.3605,0.4451,0.8833
s036,4,40,0.4983,0.1187,0.4024,0.3913,0.6217,0.5483,0.1161,0.2835,0.5205,0.4672
s036,4,41,0.4522,0.1917,0.2553,0.2898,0.5968,0.5704,0.4165,0.4412,0.5372,0.713
s036,4,42,0.8106,0.596,0.7355,0.4923,0.787,0.928,0.3084,0.2751,0.5601,0.6884
s036,4,43,0.4495,0.1836,0.2883,0.2692,0.5897,0.5638,0.1712,0.2999,0.514,0.637
s036,4,44,0.9255,0.163,0.3608,0.7444,0.8777,0.7461,0.306,0.3708,0.8623,1.1444
s036,4,45,0.4219,0.3481,0.3869,0.3299,0.5334,0.5388,0.1272,0.3524,0.5377,0.6312
s036,4,46,1.2098,0.4098,0.447,0.4061,0.6749,0.6358,0.3767,0.3724,0.5319,0.8406
s036,4,47,0.3849,0.1765,0.3922,0.3117,0.5653,0.5338,0.1396,0.3247,0.4388,0.6067
s036,4,48,0.6181,0.13,0.4362,0.2605,0.5612,0.5755,0.1588,0.3521,0.4889,0.6399
s036,4,49,0.3728,0.2165,0.2387,0.2294,0.5893,0.5497,0.2591,0.4056,0.6084,0.6033
s036,4,50,0.6017,0.2184,0.3624,0.8908,0.388,0.7197,0.1789,0.3669,0.5337,0.6518
s036,5,1,0.501,0.5346,0.4333,0.1371,0.604,0.5829,0.2369,0.4101,0.5561,1.0958
s036,5,2,0.7995,0.1609,0.3697,0.2281,0.5947,0.6417,0.3034,0.3505,0.562,0.7454
s036,5,3,0.4614,0.2155,0.4842,0.6941,0.7037,0.5976,0.2285,0.2719,0.8201,0.887
s036,5,4,0.5107,0.1469,0.5833,0.5625,0.5236,0.6153,0.3833,0.1166,0.4879,0.652
s036,5,5,0.6571,0.1614,0.3297,0.2735,0.5565,0.6132,0.3993,0.1588,0.7046,0.7839
s036,5,6,0.5368,0.1358,0.4077,0.3175,0.5581,0.6317,0.3274,0.1947,0.6168,0.7251
s036,5,7,0.6173,0.1965,0.4399,0.8758,0.7635,0.6335,0.2316,0.2635,0.5295,0.5505
s036,5,8,0.3971,0.1983,0.2951,0.2859,0.5301,0.5696,0.1523,0.2933,0.5142,0.5684
s036,5,9,0.4095,0.1538,0.3051,0.3544,0.7095,0.6686,0.1689,0.3608,0.5277,0.9664
s036,5,10,0.9719,0.1445,0.3893,0.5248,0.5799,0.625,0.1979,0.3437,0.481,1.0436
s036,5,11,1.0289,0.1118,0.5111,0.3576,0.5818,0.5839,0.1385,0.3342,0.5055,1.0861
s036,5,12,0.65,0.1216,0.5372,0.3033,0.8207,0.6501,0.248,0.2696,0.5219,1.2058
s036,5,13,1.0495,0.1008,0.553,0.3022,0.6815,0.6865,0.2459,0.2685,0.6985,0.7897
s036,5,14,0.8675,0.1614,0.4272,0.4333,0.4887,0.5923,0.1639,0.3033,0.5983,0.7617
s036,5,15,0.4743,0.1986,0.3231,0.1867,0.5562,0.5563,0.1894,0.229,0.4517,0.6882
s036,5,16,0.6935,0.1356,0.351,0.3845,0.5254,0.5652,0.1731,0.2883,0.4886,0.7454
s036,5,17,0.3364,0.1638,0.26,0.2479,0.5291,0.5778,0.2427,0.2292,0.4857,0.7488
s036,5,18,0.3064,0.1765,0.3038,0.2787,0.5618,0.5897,0.2182,0.341,0.4968,0.5418
s036,5,19,0.4174,0.1738,0.3355,0.2038,0.6043,0.6082,0.1905,0.3002,0.5559,0.4862
s036,5,20,0.3319,0.1419,0.2629,0.2782,0.5539,0.662,0.1243,0.3368,0.4973,0.5081
s036,5,21,0.3976,0.1625,0.3159,0.3636,0.5077,0.6482,0.1583,0.3036,0.4652,0.5566
s036,5,22,0.4002,0.1546,0.2498,0.2927,0.5328,0.5628,0.2707,0.273,0.4992,0.6584
s036,5,23,0.3786,0.192,0.2917,0.2732,0.4956,0.6359,0.277,0.2461,0.5155,0.5919
s036,5,24,0.4232,0.1759,0.3423,0.1999,0.5528,0.6301,0.2812,0.1986,0.7102,0.9173
s036,5,25,0.4983,0.1757,0.4359,0.4926,0.6095,0.7089,0.2055,0.335,0.4723,0.6713
s036,5,26,0.6091,0.1037,0.3489,0.2352,0.4861,0.5547,0.1338,0.269,0.4818,0.6731
s036,5,27,0.6152,0.1232,0.3545,0.2054,0.5797,0.6317,0.3632,0.2585,0.928,0.6655
s036,5,28,0.8673,0.1944,0.683,1.3544,0.6423,0.5562,0.1802,0.2814,0.4483,0.6834
s036,5,29,0.6993,0.1358,0.4093,0.5469,0.7831,1.1463,0.2572,0.2648,0.4952,0.6584
s036,5,30,0.6824,0.2168,0.2411,0.2545,0.5668,0.5763,0.2324,0.2635,0.4657,0.6262
s036,5,31,0.3675,0.1693,0.2632,0.2774,0.8321,0.5655,0.1897,0.3271,0.4612,0.6977
s036,5,32,0.3217,0.1438,0.2988,0.289,0.537,0.5689,0.1886,0.2857,0.4797,0.9078
s036,5,33,1.0096,0.264,0.4164,0.2392,0.5608,0.5164,0.1119,0.3326,0.4736,0.7362
s036,5,34,0.463,0.1675,0.2237,0.2331,0.5283,0.5884,0.1372,0.3682,0.506,0.5996
s036,5,35,0.3588,0.1153,0.2672,0.2318,0.5488,0.5584,0.1834,0.2994,0.5815,1.2728
s036,5,36,0.3778,0.1496,0.2978,0.5496,1.6599,0.9439,0.2559,0.2129,0.6099,1.0017
s036,5,37,0.4867,0.1287,0.2819,0.8586,0.5937,0.5446,0.2132,0.2242,0.505,0.4651
s036,5,38,0.42,0.0805,0.3444,0.2806,0.5201,0.5465,0.2021,0.3244,0.4915,0.498
s036,5,39,0.4031,0.119,0.2767,0.2139,0.5597,0.5633,0.1588,0.3911,0.4702,0.6705
s036,5,40,0.6779,0.095,0.322,0.6869,0.8904,0.5757,0.2163,0.2464,0.4937,0.9927
s036,5,41,0.6547,0.6321,0.5396,0.2816,0.5882,0.5987,0.1902,0.2532,0.4752,0.6001
s036,5,42,0.5078,0.1229,0.4446,0.4288,0.5742,0.5873,0.3387,0.1913,0.5923,0.786
s036,5,43,0.2977,0.1503,0.3043,0.4122,0.6345,0.7941,0.4107,0.273,0.6371,1.3762
s036,5,44,0.3422,0.2703,0.3389,0.4367,0.7806,0.7756,0.5557,0.2893,0.5034,0.8712
s036,5,45,0.9872,0.2041,0.2904,0.5662,0.4392,0.6055,0.3548,0.1058,0.4681,0.6075
s036,5,46,0.2908,0.1743,0.2028,0.3418,0.5228,0.5505,0.2132,0.2923,0.3903,0.445
s036,5,47,0.3159,0.1266,0.284,0.3114,0.4906,0.493,0.1029,0.317,0.3956,0.4049
s036,5,48,0.4622,0.1198,0.3123,0.2518,0.4861,0.7558,0.2802,0.2448,0.5155,0.536
s036,5,49,0.3296,0.172,0.2142,0.3017,0.5504,0.5644,0.1799,0.4581,0.4499,0.546
s036,5,50,0.3855,0.1279,0.3289,0.2587,0.5687,0.5847,0.2161,0.3136,0.4842,0.6766
s036,6,1,0.6555,0.0704,0.4175,0.2669,0.6237,0.5409,0.0871,0.4581,0.5155,0.6275
s036,6,2,0.7117,0.7162,0.1865,0.3059,0.5325,0.5559,0.1114,0.2756,0.4145,0.5837
s036,6,3,0.6985,0.0786,0.4518,0.2189,0.5272,0.6156,0.1362,0.2622,0.4863,0.4719
s036,6,4,0.5194,0.1303,0.3742,0.2661,0.5217,0.7316,0.2865,0.2975,0.4631,0.4179
s036,6,5,0.6887,0.0501,0.4446,0.1369,0.5745,0.5955,0.08,0.3569,0.4111,0.434
s036,6,6,0.617,0.0554,0.4628,0.221,0.6098,0.7632,0.2116,0.3118,0.4599,0.4798
s036,6,7,0.5276,0.0583,0.4233,0.1962,0.5703,0.6042,0.1562,0.2817,0.4633,0.4274
s036,6,8,0.6452,0.0794,0.4657,0.1261,0.5412,0.6029,0.3674,0.1775,0.4488,0.439
s036,6,9,0.5353,0.1079,0.3953,0.246,0.5415,0.581,0.1101,0.2646,0.4288,0.4851
s036,6,10,0.5189,0.0807,0.3919,0.1672,0.5138,0.6511,0.1705,0.268,0.4612,0.4234
s036,6,11,0.4749,0.0731,0.3837,0.2305,0.4803,0.5608,0.1441,0.2775,0.4617,0.3873
s036,6,12,0.4954,0.0794,0.3861,0.2252,0.5175,0.6021,0.1248,0.273,0.4675,0.56
s036,6,13,0.4899,0.1095,0.4431,0.2953,0.354,0.6013,0.2248,0.1646,0.452,0.5128
s036,6,14,0.4812,0.0815,0.385,0.2149,0.5755,0.5618,0.1549,0.2303,0.4114,0.3915
s036,6,15,0.3929,0.0665,0.3481,0.2956,0.4571,0.5591,0.1087,0.2975,0.4243,0.4123
s036,6,16,0.4836,0.0628,0.3784,0.2334,0.4556,0.523,0.153,0.2316,0.4333,0.4369
s036,6,17,0.3733,0.0807,0.3347,0.2423,0.4468,0.5233,0.2509,0.157,0.4269,0.411
s036,6,18,0.4182,0.1467,0.3671,0.2719,0.3709,0.5615,0.138,0.2226,0.4639,0.4184
s036,6,19,0.4216,0.1034,0.3244,0.1988,0.5325,0.5715,0.1219,0.4112,0.4852,0.4703
s036,6,20,0.4242,0.1068,0.3964,0.173,0.5157,0.5417,0.2192,0.1501,0.4074,0.4316
s036,6,21,0.3715,0.0762,0.3634,0.2442,0.5365,0.5815,0.1475,0.2448,0.438,0.4237
s036,6,22,0.4081,0.0773,0.3589,0.2497,0.4555,0.5591,0.1254,0.245,0.4209,0.3807
s036,6,23,0.5236,0.129,0.3858,0.2624,0.3587,0.7988,0.2224,0.2216,0.4744,0.4355
s036,6,24,0.4609,0.0826,0.3716,0.3072,0.4895,0.5865,0.1309,0.2366,0.3866,0.4466
s036,6,25,0.4759,0.082,0.3389,0.2302,0.5592,0.5504,0.1043,0.3722,0.4309,0.4105
s036,6,26,0.4124,0.0831,0.3811,0.2621,0.5855,0.5415,0.1362,0.24,0.4475,0.4427
s036,6,27,0.3248,0.0813,0.3162,0.265,0.537,0.5676,0.143,0.2748,0.3961,0.4524
s036,6,28,0.4108,0.0636,0.3761,0.246,0.6016,0.5789,0.2567,0.1981,0.4362,0.4482
s036,6,29,0.8702,0.0963,0.39,0.2128,0.5634,0.5649,0.2198,0.229,0.4325,0.4717
s036,6,30,0.4213,0.0691,0.3885,0.2344,0.4748,0.5446,0.282,0.177,0.4169,0.4034
s036,6,31,0.424,0.072,0.369,0.3399,0.4027,0.5662,0.2029,0.3901,0.5672,0.7646
s036,6,32,0.8625,0.1395,0.3853,0.1643,0.5863,0.5578,0.1741,0.2522,0.4433,0.5426
s036,6,33,0.4374,0.0863,0.3568,0.3478,0.687,0.6147,0.1966,0.22,0.5419,0.4835
s036,6,34,0.4422,0.0636,0.3444,0.3304,0.5768,0.5987,0.191,0.3065,0.4454,0.6011
s036,6,35,0.4696,0.1316,0.3057,0.2848,0.5631,0.5899,0.2411,0.2464,0.4728,0.4928
s036,6,36,0.3873,0.1121,0.3555,0.2972,0.6143,0.596,0.161,0.2748,0.4414,0.4413
s036,6,37,0.4134,0.0989,0.3568,0.2843,0.5666,0.6288,0.1156,0.3004,0.4177,0.4173
s036,6,38,0.3857,0.096,0.3181,0.2761,0.5568,0.5705,0.0695,0.316,0.3871,0.4057
s036,6,39,0.4245,0.0694,0.3705,0.2376,0.5043,0.5185,0.1443,0.3136,0.395,0.3596
s036,6,40,0.372,0.0625,0.3402,0.2714,0.5834,0.5992,0.143,0.2511,0.4256,0.4508
s036,6,41,0.7692,0.148,0.3202,0.2819,0.5054,0.5855,0.1143,0.3677,0.4172,0.7348
s036,6,42,0.7214,0.1461,0.3001,0.207,0.5552,0.5771,0.4057,0.153,0.9066,0.4057
s036,6,43,0.6898,0.1066,0.351,0.2972,0.5106,0.5312,0.1647,0.283,0.4462,0.439
s036,6,44,0.4519,0.0528,0.4024,0.2988,0.5267,0.5501,0.1549,0.3118,0.4747,0.4334
s036,6,45,0.5579,0.0776,0.3104,0.4351,0.4117,0.5781,0.1683,0.2129,0.4232,0.5695
s036,6,46,0.4938,0.1448,0.3239,0.2898,0.6279,0.582,0.0813,0.297,0.4483,0.758
s036,6,47,0.5065,0.0778,0.356,0.4016,0.6509,0.5765,0.1143,0.3946,0.4093,0.4123
s036,6,48,0.4828,0.0805,0.3215,0.3404,0.574,0.5559,0.0927,0.3023,0.4238,0.4121
s036,6,49,0.4559,0.0794,0.3824,0.328,0.6232,0.5852,0.1219,0.3004,0.5316,0.6797
s036,6,50,0.6426,0.0997,0.4046,0.3025,0.6253,0.5496,0.113,0.2965,0.5741,0.5439
s036,7,1,0.4472,0.0852,0.4388,0.2455,0.7738,0.5826,0.2838,0.2611,0.4422,0.7739
s036,7,2,0.6376,0.1285,0.4241,0.2281,0.5734,0.6047,0.1844,0.4716,0.5585,0.9221
s036,7,3,0.5492,0.1039,0.3993,0.2967,0.5162,0.595,0.1436,0.3213,0.4813,0.3794
s036,7,4,0.3994,0.2255,0.3297,0.2648,0.5997,0.6501,0.1285,0.3186,0.4995,0.5218
s036,7,5,0.4498,0.3014,0.427,0.12,0.5565,0.6158,0.0929,0.3189,0.4478,0.4176
s036,7,6,0.4321,0.1118,0.3199,0.2402,0.5858,0.566,0.1222,0.3292,0.4794,0.4616
s036,7,7,0.487,0.0873,0.3571,0.2969,0.6256,0.5446,0.1327,0.2646,0.4768,0.4548
s036,7,8,0.42,0.1261,0.259,0.2234,0.5676,0.6954,0.0647,0.4283,0.4243,0.4751
s036,7,9,0.3773,0.163,0.3062,0.2102,0.5378,0.5546,0.113,0.3097,0.4834,0.4155
s036,7,10,0.3828,0.1351,0.293,0.2655,0.4943,0.6011,0.1425,0.2799,0.4773,0.4123
s036,7,11,0.3834,0.2379,0.2484,0.2115,0.5995,0.5652,0.1478,0.2767,0.466,0.4234
s036,7,12,0.4076,0.1664,0.3096,0.322,0.5462,0.5515,0.1338,0.2751,0.4794,0.4274
s036,7,13,0.3786,0.1569,0.3191,0.2474,0.6037,0.5493,0.1422,0.3052,0.4612,0.3939
s036,7,14,0.3984,0.1345,0.3318,0.2326,0.4895,0.5507,0.1422,0.2777,0.4863,0.4574
s036,7,15,0.3897,0.1034,0.3566,0.2347,0.6518,0.5654,0.1562,0.3044,0.4491,0.4366
s036,7,16,0.3984,0.1804,0.3249,0.3067,0.4835,0.5655,0.1523,0.2659,0.4575,0.4002
s036,7,17,0.4693,0.0884,0.3951,0.2653,0.5742,0.6245,0.1111,0.2975,0.4504,0.3978
s036,7,18,0.5329,0.0989,0.3534,1.0184,1.0367,0.6148,0.2538,0.4075,0.721,1.0916
s036,7,19,0.4928,0.1638,0.3262,0.2503,0.6372,0.6263,0.2388,0.2814,0.5134,1.151
s036,7,20,0.5545,0.1372,0.3972,0.265,0.5346,0.61,0.1465,0.3395,0.5137,0.5204
s036,7,21,0.5255,0.2397,0.322,0.2394,0.5726,0.591,0.2554,0.2211,0.4657,0.5007
s036,7,22,0.353,0.236,0.3268,0.5617,0.615,0.6585,0.2174,0.3595,0.4839,0.3717
s036,7,23,0.502,0.0723,0.3811,0.2286,0.6282,0.6018,0.1312,0.3036,0.4388,0.4946
s036,7,24,0.42,0.2121,0.2788,0.2737,0.5798,0.668,0.1312,0.3265,0.4694,0.4582
s036,7,25,0.4253,0.1736,0.313,0.3747,0.5583,0.5858,0.1723,0.3988,0.4549,0.4036
s036,7,26,0.3565,0.1361,0.278,0.4826,0.562,0.6556,0.1494,0.3439,0.485,0.4827
s036,7,27,0.3037,0.1891,0.2092,0.4863,0.6045,0.7348,0.1378,0.3682,0.5005,0.4769
s036,7,28,0.6584,0.0673,0.4225,0.3602,0.5876,0.5942,0.0921,0.3687,0.457,0.4113
s036,7,29,0.6539,0.0955,0.2996,0.3531,0.4998,0.6551,0.2068,0.3199,0.5435,0.3778
s036,7,30,0.2971,0.1825,0.1981,0.1941,0.5639,0.5599,0.0705,0.3075,0.4675,0.401
s036,7,31,0.4171,0.2719,0.3094,0.1224,0.6201,0.5422,0.1156,0.3347,0.4604,0.4216
s036,7,32,0.3525,0.2186,0.2645,0.4984,0.5174,0.6319,0.1763,0.335,0.5728,0.5078
s036,7,33,0.4978,0.1646,0.2176,0.2152,0.4937,0.5119,0.267,0.249,0.4491,0.3976
s036,7,34,0.3309,0.1751,0.2883,0.3375,0.5003,0.5897,0.2846,0.2134,0.4644,0.445
s036,7,35,0.472,0.2234,0.2474,0.4446,0.3989,0.5699,0.1723,0.3263,0.4454,0.4013
s036,7,36,0.4519,0.0907,0.2938,0.3309,0.6836,0.7857,0.191,0.2783,0.5498,0.4936
s036,7,37,0.4184,0.172,0.2353,0.3125,0.5286,0.6034,0.1557,0.2593,0.5016,0.464
s036,7,38,0.3607,0.1509,0.2155,0.2827,0.5473,0.5984,0.1728,0.2506,0.4744,0.4746
s036,7,39,0.4422,0.1116,0.3075,0.4264,0.5264,0.5293,0.1446,0.2909,0.5833,0.5044
s036,7,40,0.4071,0.0581,0.3115,0.2028,0.5204,0.5731,0.1298,0.3397,0.5443,0.5189
s036,7,41,0.4203,0.2018,0.3286,0.6622,0.5075,0.5178,0.1525,0.4157,0.4602,0.4115
s036,7,42,0.3678,0.1382,0.2759,0.2853,0.565,0.5776,0.3305,0.2524,0.7458,0.4469
s036,7,43,0.4084,0.2231,0.2231,0.2927,0.489,0.5373,0.1828,0.2952,0.4942,0.4039
s036,7,44,0.4517,0.1448,0.3352,0.3106,0.6324,0.6155,0.3471,0.2145,0.5232,0.4129
s036,7,45,0.3393,0.192,0.2466,0.2621,0.6399,0.6385,0.209,0.2936,0.4894,0.4458
s036,7,46,0.6254,0.0454,0.3845,0.2524,0.5771,0.6369,0.1673,0.2756,0.4876,0.4582
s036,7,47,0.5007,0.1548,0.3167,0.3447,0.5404,0.6058,0.1654,0.3068,0.4765,0.478
s036,7,48,0.5015,0.0773,0.3563,0.3576,0.4848,0.6034,0.1668,0.3518,0.4702,0.4667
s036,7,49,0.5197,0.0802,0.3049,0.3718,0.735,0.8281,0.2588,0.2501,0.5192,0.3889
s036,7,50,0.4039,0.226,0.254,0.327,0.5364,0.6332,0.1338,0.4365,0.4931,0.5025
s036,8,1,0.6283,0.5765,0.3713,0.5551,0.56,0.5241,0.3355,0.3492,0.7571,1.364
s036,8,2,0.6653,0.23,0.5596,0.7895,0.3065,0.5396,0.282,0.2424,0.4409,0.724
s036,8,3,0.9034,0.1324,0.7226,0.2787,0.6338,0.7218,0.4452,0.3133,0.7711,1.4782
s036,8,4,1.0619,0.2482,0.4017,1.794,2.057,0.5365,0.2161,0.2675,0.4203,0.521
s036,8,5,1.209,0.1306,0.3334,0.2481,0.6188,0.7495,0.498,0.1588,0.5904,1.209
s036,8,6,0.7963,0.1329,0.4373,0.163,0.5953,0.6301,0.2066,0.2817,0.4686,0.9764
s036,8,7,1.1394,0.1271,1.0221,0.289,2.5606,1.0897,0.3585,0.1913,0.4668,0.6987
s036,8,8,0.8644,0.0736,0.4193,0.6561,1.2408,0.6493,0.3577,0.2076,0.539,1.4236
s036,8,9,0.5186,0.1501,0.3178,0.2603,0.9423,1.087,0.1868,0.2606,0.5561,1.0792
s036,8,10,1.6615,0.2302,0.3463,2.4595,0.253,1.3273,0.1773,0.3012,0.4182,0.8854
s036,8,11,1.0384,0.1435,0.5201,0.4122,3.8783,1.0433,0.359,0.312,0.5145,0.9382
s036,8,12,0.6676,0.1203,0.5683,0.4312,1.6308,1.1223,0.5085,0.0963,0.5235,0.7602
s036,8,13,0.5221,0.2215,0.331,0.5153,0.5761,0.6166,0.2612,0.3518,0.5569,0.9033
s036,8,14,0.7283,0.2215,0.5119,0.6975,1.5776,0.6675,0.4932,0.2806,0.615,0.9801
s036,8,15,0.7462,0.1351,0.394,0.5182,0.951,1.1013,0.5185,0.2026,0.4201,0.671
s036,8,16,0.4443,0.1303,0.2885,0.4557,1.9327,0.6234,0.2883,0.2005,0.4301,0.551
s036,8,17,0.5542,0.2176,0.2529,0.592,1.0481,0.5916,0.1686,0.2632,0.471,0.5442
s036,8,18,0.5039,0.0831,0.345,1.3401,1.1504,0.6944,0.1921,0.23,0.5976,0.762
s036,8,19,0.6829,0.2917,0.2935,0.3067,0.6552,0.6855,0.5391,0.1008,0.5013,0.9134
s036,8,20,0.3588,0.2798,0.2956,0.4077,0.6053,0.6206,0.1823,0.3716,0.674,0.8888
s036,8,21,0.3731,0.1638,0.2999,0.3193,0.5201,0.6374,0.2575,0.3249,0.6376,2.0504
s036,8,22,0.521,0.1844,0.3376,0.53,0.8369,1.0757,0.2569,0.2479,0.4689,0.742
s036,8,23,0.3831,0.1891,0.2993,0.9855,0.6649,0.5945,0.1583,0.2437,0.4375,0.5608
s036,8,24,0.4353,0.1166,0.3339,0.5538,0.9594,0.9236,0.4418,0.1905,0.5287,1.267
s036,8,25,0.6418,0.086,0.4109,0.4008,0.4927,0.6176,0.3445,0.2949,0.5836,0.5732
s036,8,26,0.3865,0.1219,0.2513,0.3373,0.5381,0.5673,0.2158,0.3547,0.852,0.9516
s036,8,27,0.8411,0.0773,0.8133,1.0321,0.6839,0.9025,0.2511,0.268,0.4562,0.6924
s036,8,28,0.5062,0.0868,0.3276,0.5614,1.1604,0.5953,0.2314,0.3664,0.4826,0.748
s036,8,29,1.2196,0.1,0.3581,0.2342,0.623,1.0272,0.3363,0.2946,0.4604,0.92
s036,8,30,0.4466,0.119,0.2935,0.2487,0.5916,0.6698,0.1963,0.2862,0.4523,0.6671
s036,8,31,0.4137,0.2658,0.1672,0.3204,0.5172,0.5865,0.3078,0.21,0.4718,0.7515
s036,8,32,0.4279,0.1274,0.3753,0.3934,0.579,0.611,0.2076,0.3447,0.4388,0.6064
s036,8,33,0.4063,0.0678,0.3692,0.2513,0.6206,0.5847,0.2274,0.2232,0.4784,0.5982
s036,8,34,0.7275,0.2023,0.2342,0.2814,0.4608,0.5457,0.1987,0.3508,0.4483,0.8023
s036,8,35,0.4045,0.1335,0.307,0.3684,0.6852,0.5831,0.2161,0.2559,0.4691,0.6315
s036,8,36,0.4132,0.0847,0.3025,0.3125,0.6533,0.5467,0.132,0.2701,0.5121,0.7135
s036,8,37,0.3536,0.1949,0.2368,0.3391,0.6726,0.9798,0.2345,0.2896,0.4889,0.8155
s036,8,38,0.5397,0.1332,0.3421,0.2729,0.3545,0.5684,0.1836,0.1989,0.4309,0.767
s036,8,39,0.3907,0.1941,0.2666,0.327,0.5325,0.6029,0.1628,0.2614,0.4739,0.4221
s036,8,40,0.4232,0.1738,0.235,0.2608,0.348,0.5501,0.1641,0.3012,0.4061,0.5141
s036,8,41,0.3712,0.0968,0.2954,0.3143,0.4885,0.5792,0.1596,0.2912,0.4014,0.6257
